"40000","   433 Eros (A898 PA)","16.84","4.463e-04","0.2228","1.458","10.83","304.27","178.93","310.55"
"1","   719 Albert (A911 TB)","","","0.5466","2.637","11.57","183.86","156.19","240.61"
"2","   887 Alinda (A918 AA)","4.2","","0.5712","2.474","9.4","110.41","350.53","81.54"
"3","  1036 Ganymed (A924 UB)","37.675","","0.5332","2.665","26.68","215.44","132.5","97.59"
"4","  1221 Amor (1932 EA1)","1.0","","0.4346","1.92","11.87","171.24","26.76","59.87"
"5","  1566 Icarus (1949 MA)","1.0","","0.827","1.078","22.8","87.95","31.44","153.08"
"6","  1580 Betulia (1950 KA)","5.8","","0.4876","2.195","52.19","62.22","159.72","80.27"
"7","  1620 Geographos (1951 RA)","2.56","","0.3355","1.246","13.34","337.14","277.02","212.92"
"8","  1627 Ivar (1929 SH)","9.12","","0.3973","1.863","8.46","133.07","167.84","311.46"
"9","  1685 Toro (1948 OA)","3.4","","0.436","1.368","9.38","274.21","127.28","82.68"
"10","  1862 Apollo (1932 HA)","1.5","","0.5599","1.471","6.35","35.54","286.05","113.88"
"11","  1863 Antinous (1948 EA)","2.1","","0.6063","2.26","18.38","345.55","269.07","289.56"
"12","  1864 Daedalus (1971 FA)","3.7","","0.6144","1.461","22.22","6.6","325.66","257.57"
"13","  1865 Cerberus (1971 UA)","1.2","","0.4669","1.08","16.1","212.88","325.29","319.67"
"14","  1866 Sisyphus (1972 XA)","8.48","","0.5381","1.893","41.21","63.45","293.1","140.66"
"15","  1915 Quetzalcoatl (1953 EA)","0.5","","0.5702","2.545","20.4","162.92","347.76","21.62"
"16","  1916 Boreas (1953 RA)","3.5","","0.4492","2.273","12.88","340.6","335.85","35.11"
"17","  1917 Cuyo (1968 AA)","5.7","","0.5055","2.149","23.96","188.27","194.55","160.09"
"18","  1943 Anteros (1973 EC)","2.3","","0.2559","1.431","8.71","246.29","338.44","260.37"
"19","  1980 Tezcatlipoca (1950 LA)","4.3","","0.3647","1.709","26.87","246.54","115.47","211.5"
"20","  1981 Midas (1973 EA)","3.4","","0.6505","1.776","39.82","356.79","267.84","65.35"
"21","  2059 Baboquivari (1963 UA)","","","0.5316","2.642","11.02","200.69","192.46","143.16"
"22","  2061 Anza (1960 UA)","2.6","","0.5356","2.265","3.8","207.35","157.11","38.89"
"23","  2062 Aten (1976 AA)","1.1","","0.1829","0.967","18.94","108.53","148.08","32.64"
"24","  2063 Bacchus (1977 HB)","1.024","","0.3494","1.078","9.43","33.04","55.35","234.79"
"25","  2100 Ra-Shalom (1978 RA)","2.3","","0.4365","0.832","15.76","170.76","356.08","249.11"
"26","  2101 Adonis (1936 CA)","0.6","","0.7641","1.874","1.32","349.41","43.71","24.48"
"27","  2102 Tantalus (1975 YA)","1.649","","0.2994","1.29","64.01","94.35","61.5","347.36"
"28","  2135 Aristaeus (1977 HA)","","","0.5031","1.6","23.07","191.11","290.98","37.18"
"29","  2201 Oljato (1947 XC)","1.8","","0.7107","2.179","2.52","74.86","98.37","97.01"
"30","  2202 Pele (1972 RA)","","","0.5129","2.291","8.74","169.9","217.97","109.59"
"31","  2212 Hephaistos (1978 SB)","5.7","","0.8347","2.168","11.2","26.57","210.46","308.24"
"32","  2329 Orthos (1976 WA)","","","0.6533","2.411","24.46","169.25","146.11","71.29"
"33","  2340 Hathor (1976 UA)","0.3","","0.4499","0.8439","5.86","211.28","40.12","201.98"
"34","  2368 Beltrovata (1977 RA)","2.3","","0.4134","2.105","5.22","287.29","43.05","287.81"
"35","  2608 Seneca (1978 DA)","0.9","","0.5647","2.53","14.43","166.42","38.71","10.72"
"36","  3102 Krok (1981 QA)","1.6","","0.4492","2.151","8.44","172.05","154.75","6.75"
"37","  3103 Eger (1982 BB)","1.5","","0.3542","1.404","20.93","129.73","254.1","181.12"
"38","  3122 Florence (1981 ET3)","4.9","","0.4232","1.769","22.14","336.04","27.88","168.26"
"39","  3199 Nefertiti (1982 RA)","2.2","","0.2841","1.575","32.96","339.97","53.44","278.49"
"40","  3200 Phaethon (1983 TB)","6.25","","0.8897","1.271","22.31","265.1","322.31","163.98"
"41","  3271 Ul (1982 RB)","","","0.3955","2.102","25.07","158.8","159.1","73.99"
"42","  3288 Seleucus (1982 DV)","2.8","","0.4545","2.034","5.93","218.58","349.4","16.88"
"43","  3352 McAuliffe (1981 CW)","","","0.3691","1.879","4.77","107.33","16.1","140.89"
"44","  3360 Syrinx (1981 VA)","1.8","","0.7474","2.466","21.07","242.24","63.71","151.22"
"45","  3361 Orpheus (1982 HR)","0.3","","0.3232","1.21","2.65","188.44","302.65","320.55"
"46","  3362 Khufu (1984 QA)","0.7","","0.4685","0.9895","9.92","152.4","55.09","40.38"
"47","  3551 Verenia (1983 RD)","0.9","","0.4868","2.093","9.51","173.77","193.3","333.3"
"48","  3552 Don Quixote (1983 SA)","19.0","","0.7073","4.27","31.05","349.97","316.49","308.26"
"49","  3553 Mera (1985 JA)","","","0.32","1.645","36.77","232.49","288.9","116.62"
"50","  3554 Amun (1986 EB)","3.341","","0.2806","0.974","23.36","358.6","359.41","276.71"
"51","  3671 Dionysus (1984 KD)","1.5","","0.5438","2.197","13.53","82.02","204.43","252.1"
"52","  3691 Bede (1982 FT)","4.3","","0.2845","1.774","20.35","348.69","235.06","151.9"
"53","  3752 Camillo (1985 PA)","2.306","","0.3015","1.414","55.56","147.95","312.23","243.34"
"54","  3753 Cruithne (1986 TO)","2.071","","0.5149","0.9978","19.8","126.19","43.88","344.36"
"55","  3757 Anagolay (1982 XB)","0.5","","0.4459","1.835","3.87","74.93","17.24","92.37"
"56","  3838 Epona (1986 WA)","","","0.7027","1.505","29.2","235.46","49.73","79.35"
"57","  3908 Nyx (1980 PA)","1.0","","0.459","1.928","2.19","261.19","126.66","312.97"
"58","  3988 Huma (1986 LA)","0.7","","0.3167","1.545","10.77","229.78","86.96","161.68"
"59","  4015 Wilson-Harrington (1979 VA)","4.0","","0.6309","2.626","2.8","266.72","95.52","274.4"
"60","  4034 Vishnu (1986 PA)","0.42","","0.444","1.059","11.17","157.86","296.7","261.95"
"61","  4055 Magellan (1985 DO2)","2.49","","0.326","1.82","23.25","164.81","154.38","67.87"
"62","  4179 Toutatis (1989 AC)","5.4","","0.6247","2.543","0.45","125.37","277.86","76.89"
"63","  4183 Cuno (1959 LM)","3.651","","0.6362","1.981","6.67","294.35","237.02","317.37"
"64","  4197 Morpheus (1982 TA)","1.8","","0.7725","2.295","12.6","6.98","122.58","110.47"
"65","  4257 Ubasti (1987 QA)","","","0.4684","1.647","40.72","169.14","278.96","347.43"
"66","  4341 Poseidon (1987 KF)","3.177","","0.6801","1.834","11.84","108.02","15.83","202.7"
"67","  4401 Aditi (1985 TB)","1.801","","0.5634","2.584","26.62","22.75","68.19","228.35"
"68","  4450 Pan (1987 SY)","","","0.5866","1.442","5.52","311.67","292.0","59.71"
"69","  4486 Mithra (1987 SB)","1.849","","0.66","2.206","3.03","82.18","169.26","276.29"
"70","  4487 Pocahontas (1987 UA)","","","0.2965","1.73","16.41","198.1","173.97","269.08"
"71","  4503 Cleobulus (1989 WM)","","","0.5248","2.704","2.51","45.94","76.24","16.5"
"72","  4544 Xanthus (1989 FB)","1.3","","0.2501","1.042","14.14","23.94","333.84","5.14"
"73","  4581 Asclepius (1989 FC)","","","0.3569","1.023","4.92","180.2","255.39","233.38"
"74","  4596 (1981 QB)","","","0.52","2.239","37.07","154.18","248.43","47.83"
"75","  4660 Nereus (1982 DB)","0.33","","0.3588","1.485","1.45","313.11","159.54","49.82"
"76","  4688 (1980 WF)","0.6","","0.5179","2.233","6.37","241.23","213.83","163.46"
"77","  4769 Castalia (1989 PB)","1.4","","0.4832","1.063","8.89","325.5","121.45","323.77"
"78","  4947 Ninkasi (1988 TJ1)","","","0.1684","1.37","15.65","215.42","192.96","30.36"
"79","  4953 (1990 MU)","","","0.6575","1.621","24.38","77.53","77.93","115.98"
"80","  4954 Eric (1990 SQ)","10.8","","0.4494","2.001","17.43","358.4","52.62","127.17"
"81","  4957 Brucemurray (1990 XJ)","3.499","","0.2188","1.565","35.01","254.88","97.46","351.78"
"82","  5011 Ptah (6743 P-L)","","","0.5002","1.636","7.41","10.62","105.96","2.07"
"83","  5131 (1990 BG)","","","0.5689","1.486","36.45","110.33","135.88","215.72"
"84","  5143 Heracles (1991 VL)","4.843","","0.7712","1.835","8.98","309.1","228.21","204.12"
"85","  5189 (1990 UQ)","","","0.4782","1.552","3.58","135.05","159.96","101.62"
"86","  5324 Lyapunov (1987 SL)","","","0.6063","2.979","19.66","352.02","321.18","178.69"
"87","  5332 Davidaguilar (1990 DA)","3.6","","0.4556","2.163","25.52","142.76","306.09","103.48"
"88","  5370 Taranis (1986 RA)","3.6","","0.637","3.318","19.17","177.78","161.28","156.07"
"89","  5381 Sekhmet (1991 JY)","0.935","","0.2964","0.9474","48.97","58.53","37.43","266.62"
"90","  5496 (1973 NA)","","","0.6342","2.437","68.02","101.02","117.92","299.22"
"91","  5587 (1990 SB)","3.57","","0.5443","2.401","18.04","189.28","87.61","209.58"
"92","  5590 (1990 VA)","","","0.2801","0.9863","14.18","216.25","34.49","68.33"
"93","  5604 (1992 FE)","0.55","","0.4065","0.93","4.7","311.94","82.77","349.65"
"94","  5620 Jasonwheeler (1990 OA)","","","0.4227","2.159","7.87","128.64","153.74","56.42"
"95","  5626 Melissabrucker (1991 FE)","","","0.4545","2.195","3.85","173.08","231.9","321.24"
"96","  5645 (1990 SP)","1.668","","0.3873","1.355","13.51","45.7","48.28","54.55"
"97","  5646 (1990 TR)","4.3","","0.4358","2.144","7.91","14.07","335.82","80.51"
"98","  5653 Camarillo (1992 WD5)","1.537","","0.3044","1.794","6.87","9.88","122.65","227.98"
"99","  5660 (1974 MA)","","","0.762","1.786","38.14","302.11","127.06","163.32"
"100","  5693 (1993 EA)","","","0.5851","1.271","5.06","96.98","258.98","118.41"
"101","  5731 Zeus (1988 VP4)","5.231","","0.6524","2.265","11.2","280.59","218.44","281.87"
"102","  5751 Zao (1992 AC)","2.3","","0.4253","2.101","16.07","121.63","25.44","23.79"
"103","  5786 Talos (1991 RC)","","","0.8268","1.082","23.22","161.28","8.39","268.09"
"104","  5797 Bivoj (1980 AA)","0.4","","0.4443","1.894","4.19","298.91","168.66","220.58"
"105","  5828 (1991 AM)","1.457","","0.6949","1.698","30.18","125.34","152.87","235.61"
"106","  5836 (1993 MF)","2.754","","0.5383","2.439","7.93","238.59","78.15","162.94"
"107","  5863 Tara (1983 RB)","1.345","","0.5073","2.221","19.51","168.68","115.72","285.95"
"108","  5869 Tanith (1988 VN4)","","","0.3214","1.812","17.92","227.84","230.86","34.0"
"109","  5879 Almeria (1992 CH1)","","","0.2891","1.625","21.58","145.82","355.79","113.52"
"110","  6037 (1988 EG)","","","0.4996","1.272","3.51","182.15","242.36","164.67"
"111","  6047 (1991 TB1)","","","0.3521","1.455","23.47","6.06","103.82","107.15"
"112","  6050 Miwablock (1992 AE)","2.884","","0.4372","2.202","6.41","88.15","285.0","153.91"
"113","  6053 (1993 BW3)","3.72","","0.5284","2.147","21.58","318.22","74.95","207.37"
"114","  6063 Jason (1984 KB)","1.4","","0.7625","2.22","4.96","169.01","337.63","219.06"
"115","  6178 (1986 DA)","2.3","","0.5848","2.814","4.31","64.48","127.47","138.36"
"116","  6239 Minos (1989 QF)","","","0.4125","1.151","3.94","344.48","239.78","183.78"
"117","  6455 (1992 HE)","4.626","","0.5729","2.24","37.34","26.89","262.74","347.71"
"118","  6456 Golombek (1992 OM)","","","0.4088","2.193","8.22","313.56","347.16","96.46"
"119","  6489 Golevka (1991 JX)","0.53","","0.6188","2.477","2.26","208.71","69.53","252.42"
"120","  6491 (1991 OA)","","","0.5921","2.504","6.15","299.98","326.21","240.15"
"121","  6569 Ondaatje (1993 MO)","","","0.2207","1.626","22.64","111.45","167.39","219.08"
"122","  6611 (1993 VW)","1.408","","0.4845","1.696","8.7","230.76","281.61","133.51"
"123","  7025 (1993 QA)","0.498","","0.315","1.476","12.61","146.59","323.48","234.62"
"124","  7088 Ishtar (1992 AA)","1.298","","0.3903","1.981","8.3","102.61","354.78","53.18"
"125","  7092 Cadmus (1992 LC)","6.319","","0.6937","2.545","17.79","56.7","94.78","127.61"
"126","  7236 (1987 PA)","","","0.5637","2.722","16.69","307.58","339.07","193.78"
"127","  7335 (1989 JA)","1.8","","0.4845","1.773","15.16","61.26","232.34","156.19"
"128","  7336 Saunders (1989 RS1)","","","0.482","2.306","7.2","174.42","181.55","118.35"
"129","  7341 (1991 VK)","0.982","","0.5061","1.842","5.41","294.72","173.51","195.6"
"130","  7350 (1993 VA)","1.921","","0.3912","1.356","7.26","133.04","336.71","73.44"
"131","  7358 Oze (1995 YA3)","","","0.5024","2.198","4.66","265.41","92.28","112.71"
"132","  7474 (1992 TC)","","","0.2921","1.566","7.09","88.6","275.64","330.81"
"133","  7480 Norwan (1994 PC)","","","0.3169","1.568","9.45","124.36","256.87","299.02"
"134","  7482 (1994 PC1)","1.052","","0.3294","1.349","33.47","117.85","47.49","138.26"
"135","  7753 (1988 XB)","","","0.4816","1.467","3.12","73.39","280.06","317.69"
"136","  7822 (1991 CS)","1.602","","0.1646","1.123","37.12","156.84","249.46","153.76"
"137","  7839 (1994 ND)","0.784","","0.5186","2.165","27.12","102.5","228.3","291.79"
"138","  7888 (1993 UC)","2.298","","0.6632","2.439","26.08","165.87","323.04","127.65"
